Symbol,RMSE,MAE,MAPE,R2,Count
V,0.969745232415832,0.969745232415832,1.3794614624075987,,1.0
NEM,0.3277344667741744,0.3277344667741744,0.7063867757878844,,1.0
ON,0.062362658000119975,0.062362658000119975,2.3356800081699456,,1.0
LOW,0.03612835103325551,0.03612835103325551,0.03804168429799755,,1.0
HPE,0.7284763920148336,0.7284763920148336,5.414479655242062,,1.0
LRCX,0.18038856321542696,0.18038856321542696,2.4751378770719517,,1.0
NVDA,0.004884530772317486,0.004884530772317486,1.5406040529574287,,1.0
GD,0.6805276409521994,0.6805276409521994,1.264537895064987,,1.0
APA,0.15306186267480726,0.15306186267480726,0.7376333483472093,,1.0
TROW,0.4003739325286517,0.4003739325286517,0.7360504869966309,,1.0
PEG,0.4088197338522619,0.4088197338522619,0.7571507659083652,,1.0
VST,0.3487376786442802,0.3487376786442802,2.136656656974793,,1.0
ADBE,0.0380936692938576,0.0380936692938576,0.11669567970800858,,1.0
ATO,0.27126898111667685,0.27126898111667685,0.49025950504062027,,1.0
NWSA,0.463784134193137,0.463784134193137,3.197573903075649,,1.0
VTR,0.12245951861032456,0.12245951861032456,2.342626508591665,,1.0
Total,4.250906851011997,1.7711083201515103,2.470959047886154,0.9975362849992907,100.0
