Symbol,Direction Accuracy (%),Correct Predictions,Incorrect Predictions,Up Predictions,Down Predictions,Actual Ups,Actual Downs,Count
TJX,50.0,1.0,1.0,0.0,2.0,1.0,1.0,2.0
SJM,66.66666666666666,2.0,1.0,2.0,1.0,3.0,0.0,3.0
AZO,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
EXPD,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
UNP,60.0,3.0,2.0,3.0,2.0,3.0,2.0,5.0
HD,0.0,0.0,3.0,2.0,1.0,1.0,2.0,3.0
AVB,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
DRI,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
EA,100.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0
LIN,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
TSN,0.0,0.0,4.0,4.0,0.0,0.0,4.0,4.0
WRB,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
PPL,0.0,0.0,2.0,0.0,2.0,2.0,0.0,2.0
AXON,66.66666666666666,2.0,1.0,2.0,1.0,3.0,0.0,3.0
KMX,100.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
XYL,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0
AWK,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
PAYC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WMB,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
NEE,50.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0
MTCH,50.0,1.0,1.0,1.0,1.0,0.0,2.0,2.0
PAYX,66.66666666666666,2.0,1.0,3.0,0.0,2.0,1.0,3.0
MKC,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
IRM,100.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0
IR,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
ADP,0.0,0.0,2.0,1.0,1.0,1.0,1.0,2.0
ADSK,33.33333333333333,1.0,2.0,2.0,1.0,0.0,3.0,3.0
DE,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
FDS,33.33333333333333,1.0,2.0,2.0,1.0,2.0,1.0,3.0
DHR,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
PFG,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
DGX,60.0,3.0,2.0,4.0,1.0,2.0,3.0,5.0
BLDR,100.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0
EIX,50.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0
EOG,50.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0
GL,100.0,3.0,0.0,1.0,2.0,1.0,2.0,3.0
ALB,75.0,3.0,1.0,3.0,1.0,2.0,2.0,4.0
MKTX,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
RL,33.33333333333333,1.0,2.0,3.0,0.0,1.0,2.0,3.0
CINF,75.0,3.0,1.0,3.0,1.0,4.0,0.0,4.0
EQIX,50.0,3.0,3.0,3.0,3.0,6.0,0.0,6.0
PGR,100.0,5.0,0.0,2.0,3.0,2.0,3.0,5.0
HOLX,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
T,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0
FIS,100.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
WEC,40.0,2.0,3.0,4.0,1.0,1.0,4.0,5.0
FANG,50.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0
